LINHA           | TOKEN           | TIPO            | FUNCAO          | VALOR           | 
1               | T_DEF           | --              | --              | def             | 
1               | FUNCAO          | --              | --              | power           | 
1               | T_ABREPARENTESE | --              | --              | (               | 
1               | T_INT           | --              | --              | int             | 
1               | ID              | int             | power           | BASE            | 
1               | T_VIRGULA       | --              | --              | ,               | 
1               | T_INT           | --              | --              | int             | 
1               | ID              | int             | power           | A               | 
1               | T_FECHAPARENTES | --              | --              | )               | 
1               | T_ABRECHAVE     | --              | --              | {               | 
2               | T_IF            | --              | --              | if              | 
2               | T_ABREPARENTESE | --              | --              | (               | 
2               | ID              | int             | power           | A               | 
2               | T_DIFERENTE     | --              | --              | !=              | 
2               | NUMERO          | --              | --              | 0               | 
2               | T_FECHAPARENTES | --              | --              | )               | 
2               | T_ABRECHAVE     | --              | --              | {               | 
3               | T_INT           | --              | --              | int             | 
3               | ID              | int             | power           | P               | 
3               | EOL             | --              | --              | ;               | 
4               | ID              | int             | power           | P               | 
4               | T_ATRIBUICAO    | --              | --              | =               | 
4               | FUNCAO          | --              | --              | power           | 
4               | T_ABREPARENTESE | --              | --              | (               | 
4               | ID              | int             | power           | BASE            | 
4               | T_VIRGULA       | --              | --              | ,               | 
4               | T_ABREPARENTESE | --              | --              | (               | 
4               | ID              | int             | power           | A               | 
4               | T_SUBTRACAO     | --              | --              | -               | 
4               | NUMERO          | --              | --              | 1               | 
4               | T_FECHAPARENTES | --              | --              | )               | 
4               | T_FECHAPARENTES | --              | --              | )               | 
4               | EOL             | --              | --              | ;               | 
5               | T_RETURN        | --              | --              | return          | 
5               | T_ABREPARENTESE | --              | --              | (               | 
5               | ID              | int             | power           | BASE            | 
5               | T_MULTIPLICACAO | --              | --              | *               | 
5               | ID              | int             | power           | P               | 
5               | T_FECHAPARENTES | --              | --              | )               | 
5               | EOL             | --              | --              | ;               | 
6               | T_FECHACHAVE    | --              | --              | }               | 
7               | T_RETURN        | --              | --              | return          | 
7               | NUMERO          | --              | --              | 1               | 
7               | EOL             | --              | --              | ;               | 
8               | T_FECHACHAVE    | --              | --              | }               | 
10              | T_DEF           | --              | --              | def             | 
10              | FUNCAO          | --              | --              | main            | 
10              | T_ABREPARENTESE | --              | --              | (               | 
10              | T_FECHAPARENTES | --              | --              | )               | 
10              | T_ABRECHAVE     | --              | --              | {               | 
11              | T_INT           | --              | --              | int             | 
11              | ID              | int             | main            | BASE            | 
11              | EOL             | --              | --              | ;               | 
12              | T_INT           | --              | --              | int             | 
12              | ID              | int             | main            | A               | 
12              | EOL             | --              | --              | ;               | 
13              | T_INT           | --              | --              | int             | 
13              | ID              | int             | main            | RESULT          | 
13              | EOL             | --              | --              | ;               | 
15              | T_WRITE         | --              | --              | print           | 
15              | TEXTO           | --              | --              | "Enter base num | 
15              | EOL             | --              | --              | ;               | 
16              | T_READ          | --              | --              | read            | 
16              | ID              | int             | main            | BASE            | 
16              | EOL             | --              | --              | ;               | 
18              | T_WRITE         | --              | --              | print           | 
18              | TEXTO           | --              | --              | "Enter power nu | 
18              | EOL             | --              | --              | ;               | 
19              | T_READ          | --              | --              | read            | 
19              | ID              | int             | main            | A               | 
19              | EOL             | --              | --              | ;               | 
21              | ID              | int             | main            | RESULT          | 
21              | T_ATRIBUICAO    | --              | --              | =               | 
21              | FUNCAO          | --              | --              | power           | 
21              | T_ABREPARENTESE | --              | --              | (               | 
21              | ID              | int             | power           | BASE            | 
21              | T_VIRGULA       | --              | --              | ,               | 
21              | ID              | int             | power           | A               | 
21              | T_FECHAPARENTES | --              | --              | )               | 
21              | EOL             | --              | --              | ;               | 
22              | T_WRITE         | --              | --              | print           | 
22              | TEXTO           | --              | --              | "result "       | 
22              | EOL             | --              | --              | ;               | 
23              | T_WRITE         | --              | --              | print           | 
23              | ID              | int             | power           | RESULT          | 
23              | EOL             | --              | --              | ;               | 
25              | T_RETURN        | --              | --              | return          | 
25              | NUMERO          | --              | --              | 0               | 
25              | EOL             | --              | --              | ;               | 
26              | T_FECHACHAVE    | --              | --              | }               | 
28              | T_DEF           | --              | --              | def             | 
28              | FUNCAO          | --              | --              | largest_element | 
28              | T_ABREPARENTESE | --              | --              | (               | 
28              | T_FECHAPARENTES | --              | --              | )               | 
28              | T_ABRECHAVE     | --              | --              | {               | 
29              | T_INT           | --              | --              | int             | 
29              | ID              | int             | largest_element | N               | 
29              | EOL             | --              | --              | ;               | 
30              | T_WRITE         | --              | --              | print           | 
30              | TEXTO           | --              | --              | "Enter the numb | 
30              | EOL             | --              | --              | ;               | 
31              | T_READ          | --              | --              | read            | 
31              | ID              | int             | largest_element | N               | 
31              | EOL             | --              | --              | ;               | 
33              | T_INT           | --              | --              | int             | 
33              | ID              | int             | largest_element | ARR             | 
33              | T_ABRECOLCHETE  | --              | --              | [               | 
33              | ID              | int             | largest_element | N               | 
33              | T_FECHACOLCHETE | --              | --              | ]               | 
33              | EOL             | --              | --              | ;               | 
35              | T_INT           | --              | --              | int             | 
35              | ID              | int             | largest_element | I               | 
35              | EOL             | --              | --              | ;               | 
36              | T_FOR           | --              | --              | for             | 
36              | T_ABREPARENTESE | --              | --              | (               | 
36              | ID              | int             | largest_element | I               | 
36              | T_ATRIBUICAO    | --              | --              | =               | 
36              | NUMERO          | --              | --              | 0               | 
36              | EOL             | --              | --              | ;               | 
36              | ID              | int             | largest_element | I               | 
36              | T_MENOR         | --              | --              | <               | 
36              | ID              | int             | largest_element | N               | 
36              | EOL             | --              | --              | ;               | 
36              | ID              | int             | largest_element | I               | 
36              | T_ATRIBUICAO    | --              | --              | =               | 
36              | ID              | int             | largest_element | I               | 
36              | T_SOMA          | --              | --              | +               | 
36              | NUMERO          | --              | --              | 1               | 
36              | T_FECHAPARENTES | --              | --              | )               | 
36              | T_ABRECHAVE     | --              | --              | {               | 
37              | T_WRITE         | --              | --              | print           | 
37              | TEXTO           | --              | --              | "Enter number " | 
37              | EOL             | --              | --              | ;               | 
38              | T_READ          | --              | --              | read            | 
38              | ID              | int             | largest_element | ARR             | 
38              | T_ABRECOLCHETE  | --              | --              | [               | 
38              | ID              | int             | largest_element | I               | 
38              | T_FECHACOLCHETE | --              | --              | ]               | 
38              | EOL             | --              | --              | ;               | 
39              | T_FECHACHAVE    | --              | --              | }               | 
42              | T_INT           | --              | --              | int             | 
42              | ID              | int             | largest_element | O               | 
42              | EOL             | --              | --              | ;               | 
43              | T_FOR           | --              | --              | for             | 
43              | T_ABREPARENTESE | --              | --              | (               | 
43              | ID              | int             | largest_element | O               | 
43              | T_ATRIBUICAO    | --              | --              | =               | 
43              | NUMERO          | --              | --              | 0               | 
43              | EOL             | --              | --              | ;               | 
43              | ID              | int             | largest_element | O               | 
43              | T_MENOR         | --              | --              | <               | 
43              | ID              | int             | largest_element | N               | 
43              | EOL             | --              | --              | ;               | 
43              | ID              | int             | largest_element | O               | 
43              | T_ATRIBUICAO    | --              | --              | =               | 
43              | ID              | int             | largest_element | O               | 
43              | T_SOMA          | --              | --              | +               | 
43              | NUMERO          | --              | --              | 1               | 
43              | T_FECHAPARENTES | --              | --              | )               | 
43              | T_ABRECHAVE     | --              | --              | {               | 
44              | T_IF            | --              | --              | if              | 
44              | T_ABREPARENTESE | --              | --              | (               | 
44              | ID              | int             | largest_element | ARR             | 
44              | T_ABRECOLCHETE  | --              | --              | [               | 
44              | NUMERO          | --              | --              | 0               | 
44              | T_FECHACOLCHETE | --              | --              | ]               | 
44              | T_MENOR         | --              | --              | <               | 
44              | ID              | int             | largest_element | ARR             | 
44              | T_ABRECOLCHETE  | --              | --              | [               | 
44              | ID              | int             | largest_element | O               | 
44              | T_FECHACOLCHETE | --              | --              | ]               | 
44              | T_FECHAPARENTES | --              | --              | )               | 
44              | T_ABRECHAVE     | --              | --              | {               | 
45              | ID              | int             | largest_element | ARR             | 
45              | T_ABRECOLCHETE  | --              | --              | [               | 
45              | NUMERO          | --              | --              | 0               | 
45              | T_FECHACOLCHETE | --              | --              | ]               | 
45              | T_ATRIBUICAO    | --              | --              | =               | 
45              | ID              | int             | largest_element | ARR             | 
45              | T_ABRECOLCHETE  | --              | --              | [               | 
45              | ID              | int             | largest_element | O               | 
45              | T_FECHACOLCHETE | --              | --              | ]               | 
45              | EOL             | --              | --              | ;               | 
46              | T_FECHACHAVE    | --              | --              | }               | 
47              | T_FECHACHAVE    | --              | --              | }               | 
49              | T_WRITE         | --              | --              | print           | 
